Comment,Designator,Footprint,LCSC
2N3904,"Q1,Q2,Q3,Q5",TO-92_Inline,C118538
PT204-6B-27,LED1,LED-TH_BD4.0-P2.54-RD,C142324
22uF,C1,C0805,C45783
TestPoint,TP9,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP8,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
10R,R28,R_0201_0603Metric,
100R,R27,R_0201_0603Metric,
22R,R26,R_0201_0603Metric,
1.2k,R25,R_0201_0603Metric,
1.2k,R24,R_0201_0603Metric,
SolderJumper_2_Open,JP21,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP20,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP19,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP18,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
TSAL4400,D2,LED_D3.0mm_IRBlack,
TestPoint,TP7,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP6,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP5,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP4,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP3,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
TestPoint,TP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
100k,R22,R_0201_0603Metric,
20k,R21,R_0201_0603Metric,
1k,R20,R_0201_0603Metric,
10k,R19,R_0201_0603Metric,
10R,R17,R_0201_0603Metric,
100R,R16,R_0201_0603Metric,
22R,R15,R_0201_0603Metric,
1.2k,R14,R_0201_0603Metric,
1.2k,R13,R_0201_0603Metric,
10R,R11,R_0201_0603Metric,
100R,R10,R_0201_0603Metric,
22R,R9,R_0201_0603Metric,
1.2k,R8,R_0201_0603Metric,
1.2k,R7,R_0201_0603Metric,
100R,R6,R_0201_0603Metric,
1.2k,R5,R_0201_0603Metric,
22R,R4,R_0201_0603Metric,
1.2k,R3,R_0201_0603Metric,
10R,R1,R_0201_0603Metric,
SolderJumper_2_Open,JP17,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP16,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP14,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP13,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP12,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP11,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP10,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP9,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP8,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP7,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP6,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP5,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP4,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
TSAL4400,D4,LED_D3.0mm_IRBlack,
TSAL4400,D3,LED_D3.0mm_IRBlack,
TSAL4400,D1,LED_D3.0mm_IRBlack,
TestPoint,TP10,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,
