Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C0805,151.4,-88.9,180.0,top
D1,TSAL4400,LED_D3.0mm_IRBlack,110.485,-81.28,180.0,top
D2,TSAL4400,LED_D3.0mm_IRBlack,189.225,-81.28,180.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,125.725,-81.28,180.0,top
D4,TSAL4400,LED_D3.0mm_IRBlack,176.525,-81.28,180.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,146.06,-130.805,90.0,bottom
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,84.41,-121.92,0.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,89.49,-121.92,0.0,top
JP3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,84.41,-106.68,0.0,top
JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,89.49,-106.68,0.0,top
JP5,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,110.42,-121.92,0.0,top
JP6,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,119.28,-121.92,0.0,top
JP7,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,111.66,-106.68,0.0,top
JP8,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,118.065,-106.68,0.0,top
JP9,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,170.83,-121.92,0.0,top
JP10,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,179.69,-121.92,0.0,top
JP11,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,172.07,-106.68,0.0,top
JP12,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,179.69,-106.68,0.0,top
JP13,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,144.13,-99.06,0.0,top
JP14,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,151.75,-99.06,0.0,top
JP16,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,128.89,-99.06,0.0,top
JP17,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,136.51,-99.06,0.0,top
JP18,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,194.93,-121.92,0.0,top
JP19,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,202.55,-121.92,0.0,top
JP20,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,193.69,-106.68,0.0,top
JP21,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,202.55,-106.68,0.0,top
LED1,PT204-6B-27,LED-TH_BD4.0-P2.54-RD,149.830015,-78.74,0.0,top
Q1,2N3904,TO-92_Inline,113.58,-96.16,0.0,top
Q2,2N3904,TO-92_Inline,85.03,-96.16,0.0,top
Q3,2N3904,TO-92_Inline,176.53,-96.16,0.0,top
Q5,2N3904,TO-92_Inline,199.39,-96.16,0.0,top
R1,10R,R_0201_0603Metric,88.555,-83.82,0.0,top
R3,1.2k,R_0201_0603Metric,84.105,-116.84,180.0,top
R4,22R,R_0201_0603Metric,84.105,-111.76,0.0,top
R5,1.2k,R_0201_0603Metric,89.185,-116.84,0.0,top
R6,100R,R_0201_0603Metric,89.185,-111.76,180.0,top
R7,1.2k,R_0201_0603Metric,112.015,-116.84,0.0,top
R8,1.2k,R_0201_0603Metric,117.735,-116.84,0.0,top
R9,22R,R_0201_0603Metric,112.655,-111.76,0.0,top
R10,100R,R_0201_0603Metric,117.07,-111.76,0.0,top
R11,10R,R_0201_0603Metric,114.645,-83.82,0.0,top
R13,1.2k,R_0201_0603Metric,173.04,-116.84,0.0,top
R14,1.2k,R_0201_0603Metric,178.12,-116.84,0.0,top
R15,22R,R_0201_0603Metric,173.04,-111.76,0.0,top
R16,100R,R_0201_0603Metric,178.12,-111.76,0.0,top
R17,10R,R_0201_0603Metric,170.5,-83.82,0.0,top
R19,10k,R_0201_0603Metric,136.205,-106.68,0.0,top
R20,1k,R_0201_0603Metric,131.125,-106.68,0.0,top
R21,20k,R_0201_0603Metric,143.825,-106.68,0.0,top
R22,100k,R_0201_0603Metric,151.445,-106.68,0.0,top
R24,1.2k,R_0201_0603Metric,195.925,-116.84,0.0,top
R25,1.2k,R_0201_0603Metric,200.98,-116.84,0.0,top
R26,22R,R_0201_0603Metric,195.9,-111.76,0.0,top
R27,100R,R_0201_0603Metric,200.98,-111.76,0.0,top
R28,10R,R_0201_0603Metric,195.9,-83.82,0.0,top
TP1,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,85.01,-101.6,0.0,top
TP2,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,113.56,-101.6,0.0,top
TP3,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,176.51,-101.6,0.0,top
TP4,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,87.55,-88.9,0.0,top
TP5,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,116.1,-88.9,0.0,top
TP6,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,179.05,-88.9,0.0,top
TP7,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,139.65,-86.36,0.0,top
TP8,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,199.37,-101.6,0.0,top
TP9,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,201.91,-86.36,0.0,top
TP10,TestPoint,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,156.19,-78.74,0.0,top
